"ISO","Language","Family","Area","H","H_unigram","L2prop","MC","NumChap","Population","Rangesize","vehicularity","ethnologue_L2_users","used_as_L2_by","notes"
"bcm","Bannoni","Austronesian","Oceania",NA,NA,0,0.428571432828903,7,1000,444.9391766,0,FALSE,NA,""
"bco","Kaluli","Trans-New-Guinea","Interior-New-Guinea",NA,9.5812463760376,0,1,2,2500,598.9545337,0,FALSE,"ail:onn:siq",""
"bcq","Bench","Afro-Asiatic","Greater-Abyssinia",NA,NA,0.060982190072537,0.75,9,174000,1890.861495,0,TRUE,"she",""
"bcw","Bana","Afro-Asiatic","African-Savannah",1.42160105705261,8.22248363494873,0,NA,NA,23000,321.6281088,0,FALSE,NA,""
"bdd","Bunama","Austronesian","",1.40986096858978,9.15014743804932,0,NA,NA,4000,219.5208946,0,FALSE,NA,""
"bdh","Baka","Nilo-Saharan","African-Savannah",NA,NA,0,0.200000002980232,5,26300,3762.508119,0,FALSE,"avu:muh",""
"bdk","Budukh","North-Caucasian","Greater-Mesopotamia",NA,NA,0,0.5,2,1000,26.26581955,0,FALSE,NA,""
"bdl","Indonesian Bajau","Austronesian","Oceania",NA,NA,0,0.5,4,150000,73.3004075,0,FALSE,NA,""
"bdm","Buduma","Afro-Asiatic","African-Savannah",NA,NA,0,0.666666686534882,9,54800,14083.73638,0,FALSE,NA,""
"bdr","West Coast Bajau","Austronesian","Southeast-Asia",NA,NA,0,0.125,8,55000,1053.871573,0,FALSE,"kxd:bug:ilm:dtp:dtr:sjm:dpp:ssb",""
"bds","Burunge","Afro-Asiatic","S-Africa",NA,NA,0,0.740740716457367,9,13000,1860.021871,0,FALSE,NA,""
"bdu","Oroko","Niger-Congo","African-Savannah",NA,NA,0,1,4,106000,5174.897537,0,FALSE,NA,""
"bdy","Bandjalang","Australian","S-Australia",NA,NA,0,0.927083313465118,5,10,5141.31093,0,FALSE,NA,""
